Date	Time	---	cm/s
980812	10:28	862	155.96
980812	10:38	862	177.96
980812	10:48	862	148.63
980812	10:58	862	135.91
980812	11:08	862	139.34
980812	11:18	862	117.34
980812	11:28	862	120.76
980812	11:38	862	128.09
980812	11:48	862	138.36
980812	11:58	862	133.96
980812	12:08	862	150.09
980812	12:18	862	146.18
980812	12:28	862	141.78
980812	12:38	862	149.6
980812	12:48	862	145.69
980812	12:58	862	149.11
980812	13:08	862	124.67
980812	13:18	862	155.96
980812	13:28	862	158.4
980812	13:38	862	145.69
980812	13:48	862	180.4
980812	13:58	862	160.85
980812	14:08	862	176.98
980812	14:18	862	186.76
980812	14:28	862	132.49
980812	14:38	862	155.96
980812	14:48	862	147.65
980812	14:58	862	169.16
980812	15:08	862	149.11
980812	15:18	862	10.27
980812	15:28	862	6.84
980812	15:38	862	10.27
980812	15:48	862	8.8
980812	15:58	862	4.89
980812	16:08	862	0.98
980812	16:18	862	1.96
980812	16:28	862	2.44
980812	16:38	862	4.4
980812	16:48	862	3.42
980812	16:58	862	3.42
980812	17:08	862	2.44
980812	17:18	862	3.42
980812	17:28	862	5.87
980812	17:38	862	4.4
980812	17:48	862	4.89
980812	17:58	862	2.93
980812	18:08	862	3.91
980812	18:18	862	2.93
980812	18:28	862	3.91
980812	18:38	862	4.89
980812	18:48	862	2.44
980812	18:58	862	3.42
980812	19:08	862	3.91
980812	19:18	862	2.93
980812	19:28	862	2.93
980812	19:38	862	2.44
980812	19:48	862	3.91
980812	19:58	862	3.91
980812	20:08	862	4.4
980812	20:18	862	1.96
980812	20:28	862	3.91
980812	20:38	862	5.87
980812	20:48	862	4.4
980812	20:58	862	5.38
980812	21:08	862	5.38
980812	21:18	862	7.33
980812	21:28	862	7.82
980812	21:38	862	6.84
980812	21:48	862	5.87
980812	21:58	862	5.38
980812	22:08	862	2.93
980812	22:18	862	6.36
980812	22:28	862	7.33
980812	22:38	862	90.94
980812	22:48	862	200.45
980812	22:58	862	177.96
980812	23:08	862	168.18
980812	23:18	862	185.29
980812	23:28	862	160.36
980812	23:38	862	149.11
980812	23:48	862	151.56
980812	23:58	862	185.29
980813	0:08	862	176.98
980813	0:18	862	201.92
980813	0:28	862	184.8
980813	0:38	862	195.07
980813	0:48	862	167.69
980813	0:58	862	173.07
980813	1:08	862	187.74
980813	1:18	862	142.27
980813	1:28	862	189.69
980813	1:38	862	189.2
980813	1:48	862	168.67
980813	1:58	862	151.56
980813	2:08	862	138.36
980813	2:18	862	164.27
980813	2:28	862	153.03
980813	2:38	862	156.45
980813	2:48	862	159.87
980813	2:58	862	157.43
980813	3:08	862	159.87
980813	3:18	862	182.85
980813	3:28	862	182.36
980813	3:38	862	163.78
980813	3:48	862	3.91
980813	3:58	862	4.89
980813	4:08	862	8.8
980813	4:18	862	13.2
980813	4:28	862	8.31
980813	4:38	862	9.29
980813	4:48	862	6.84
980813	4:58	862	6.84
980813	5:08	862	8.31
